latitude,longitude
-28.6375,147.3253
-34.4572,150.8685
-37.9516,144.2893
-28.9874,153.1339
-32.4995,150.569
-27.9814,148.6873
-34.7814,147.5028
-28.512,147.8865
-37.5135,141.5616
-34.4168,147.3796
-34.284,148.2465
-33.8608,147.9678
-30.1648,150.1964
-34.3943,147.9019
-27.778,148.6588
-29.3227,151.5855
-35.4284,147.9711
-28.5408,149.6988
-35.5106,146.8219
-34.3096,147.4132
-34.3893,147.4774
-37.4091,148.6366
-28.3107,152.468
-28.0008,148.7671
-34.8487,146.7695
-28.5599,148.069
-31.4773,148.7705
-37.2519,142.232
-41.422,146.9782
-34.8505,147.6287
-29.0818,148.7114
-29.6678,153.0435
-38.1673,143.7822
-36.7849,140.9173
-33.4636,147.1012
-41.4064,147.9395
-33.5399,148.5108
-40.5138,148.1384
-35.4887,143.6238
-43.1212,145.9813
-41.3415,146.8572
-30.3951,152.1218
-34.4426,146.7754
-33.1586,147.3344
-32.7547,150.5631
-29.6506,149.9281
-27.6841,151.389
-28.5545,149.8024
-34.4307,146.1998
-29.0872,151.8923
-37.9467,145.0775
-28.5616,152.2991
-41.0709,145.1484
-38.356,146.2204
-38.1275,143.8527
-28.7519,148.5888
-28.6257,148.2799
-40.9963,145.3539
-28.2103,151.0006
-41.2829,145.046
-34.4677,150.8887
-31.1477,152.8109
-31.7776,152.4037
-37.0139,142.273
-34.2757,147.5712
-37.2709,142.2888
-28.9733,150.0876
-34.4576,150.8844
-27.8495,150.6057
-35.7358,141.0336
-28.854,142.5123
-28.3917,148.6693
-28.2153,151.0253
-34.9245,145.7833
-31.5695,146.8499
-36.6657,144.5166
-37.249,148.4511
-35.8337,143.7075
-35.5674,145.2454
-37.1041,143.7014
-34.3829,146.153
-37.3275,145.2425
-36.6376,143.0867
-37.2219,143.7395
-36.1981,145.7702
-34.2864,147.9238
-28.7695,147.1276
-35.5299,145.2489
-29.479,148.5485
-37.1653,149.9204
-34.7617,146.0065
-31.7359,145.3799
-37.4055,145.5217
-36.3855,145.6938
-36.0291,142.1213
-34.4646,150.8824
-30.2811,149.3111
-37.0262,149.4586
-34.7131,147.0975
-29.3485,150.2489
-30.8174,148.8566
-36.4088,140.9828
-33.6754,146.316
-33.5522,150.3518
-35.5201,147.6191
-42.7882,145.6628
-36.7597,141.0753
-30.0991,151.8897
-32.768,146.3712
-38.2025,144.1749
-32.5221,148.6628
-29.2375,148.5887
-32.1203,146.0386
-42.5652,147.7179
-28.7726,151.9865
-32.1905,146.8197
-27.7186,148.3816
-34.8836,146.0016
-40.2416,148.1605
-34.4324,147.5887
-28.6621,152.1787
-35.5271,146.8434
-29.286,152.6992
-33.4393,147.349
-36.6847,144.6938
-29.2297,150.3818
-29.393,140.8636
-29.9857,151.5607
-33.7246,148.5858
-31.8382,145.7531
-36.4219,141.4324
-33.9496,148.6204
-27.4768,144.6012
-35.5874,146.1202
-37.5758,144.9804
-30.7419,152.1614
-31.6012,150.2886
-34.1118,147.6338
-38.4975,143.9702
-36.4551,146.7574
-37.6984,143.6114
-42.5931,146.7441
-31.3986,148.0713
-27.5885,151.6942
-35.3443,146.6868
-35.9882,149.744
-40.3485,148.2724
-34.3857,147.8765
-37.2096,148.3958
-29.6301,150.8278
-28.6433,152.3844
-33.9481,140.5234
-35.5212,150.0328
-37.9926,145.1115
-36.4153,141.1669
-35.5363,146.2487
-35.5936,147.6278
-35.5555,146.5267
-28.6265,149.0856
-35.7954,145.4092
-38.2587,146.6545
-27.6,142.153
-32.2738,151.324
-37.3456,141.1883
-32.0712,148.4682
-27.8234,148.7149
-28.6699,142.4657
-33.7997,148.6398
-36.3635,143.1822
-29.7438,151.9013
-28.2937,152.8228
-27.8798,150.9492
-37.4162,148.6322
-28.2739,150.9904
-27.5244,147.5398
-28.1631,151.299
-37.4256,148.6481
-29.5082,140.9412
-35.3224,144.7368
-37.7701,146.2901
-31.4636,151.2288
-34.4918,143.4073
-29.1673,151.5896
-29.1105,140.5563
-33.0772,148.2309
-34.279,143.6869
-35.1441,148.5323
-29.7839,149.1472
-36.6839,142.8487
-29.7911,152.54
-34.7495,143.1623
-34.4789,148.0181
-34.062,146.9599
-32.1878,146.4237
-27.8195,149.3941
-28.6294,147.059
-27.3886,141.4577
-37.8561,143.2015
-38.3299,142.6808
-34.8483,141.765
-32.2608,148.7057
-33.5989,148.3474
-34.4453,147.2427
-34.4513,146.0698
-34.3435,143.0698
-36.1218,147.5732
-35.7718,149.7908
-27.5111,147.5367
-37.3985,141.4747
-37.7142,147.7459
-35.7896,146.7061
-37.1216,148.4839
-28.9886,149.733
-36.4895,142.572
-35.4327,144.2725
-35.3846,145.9099
-29.211,152.6393
-27.4362,150.8542
-34.5926,146.9758
-33.1062,149.0809
-36.7938,140.6318
-28.9649,147.5495
-34.945,149.0175
-28.2199,147.5262
-36.0109,147.4862
-34.5976,147.5621
-28.7848,149.7621
-36.8645,141.5153
-34.0053,148.2128
-31.0892,143.19
-41.3559,148.2842
-31.9195,150.8079
-30.9859,146.9467
-37.6911,146.3755
-29.8636,149.8107
-34.2836,140.7446
-34.5665,147.1389
-31.4889,152.7243
-37.1292,142.7599
-36.3293,146.0569
-28.0969,148.2048
-31.686,151.5582
-33.0139,146.4713
-37.9505,143.9084
-35.5749,144.4843
-35.5763,145.6107
-36.9318,147.0042
-42.8211,147.7019
-36.0378,142.5188
-32.5578,147.5465
-34.9247,145.8784
-41.8406,146.1855
-28.426,145.4002
-28.6217,152.306
-29.3746,148.5067
-29.6471,152.5593
-34.4667,150.8823
-32.1698,152.1375
-29.8025,149.3798
-36.2551,142.6002
-41.4513,147.1793
-35.5129,145.3515
-27.4669,150.8652
-33.844,149.2523
-36.384,142.1601
-35.1996,142.5814
-32.9267,146.9747
-34.1515,149.5775
-28.7551,148.6464
-31.2399,147.091
-36.244,143.3623
-35.5104,146.625
-35.5064,145.498
-35.757,145.6719
-37.0443,149.4583
-29.1706,150.3408
-27.4872,148.4331
-37.3292,148.6832
-36.7705,145.1852
-40.0633,148.2279
-31.9407,145.8612
-36.8185,141.6302
-30.4216,144.7323
-36.6137,145.2303
-41.4244,145.6171
-41.2633,145.7702
-28.937,150.3883
-34.2638,148.0834
-28.742,146.0125
-29.2077,151.4457
-42.8069,147.7673
-37.0196,142.4404
-37.1003,141.6719
-37.6728,147.4818
-30.9039,147.5399
-38.4553,145.5944
-38.011,143.8635
-34.3359,147.3189
-29.2463,152.2347
-37.3693,147.398
-34.1503,147.1006
-29.4191,152.9314
-30.0511,147.5869
-30.7707,148.2343
-32.0058,149.2662
-35.9606,144.9557
-34.2916,144.0423
-33.3825,147.1512
-33.5493,149.3672
-33.6012,146.4063
-31.5194,148.7309
-29.6889,153.2103
-36.8641,142.667
-35.7422,141.3772
-36.4137,145.8337
-34.1865,145.8686
-36.8326,146.6636
-34.6355,148.1314
-36.8189,141.7452
-35.2197,144.1555
-30.3023,148.9019
-29.4522,152.4028
-35.7995,148.7428
-34.2501,146.4189
-34.9696,147.6707
-37.4522,142.9277
-37.3763,141.0584
-37.9579,143.6342
-31.9562,151.2277
-30.4091,152.9654
-34.5726,146.0941
-30.1092,152.5773
-29.3043,151.6201
-27.7714,148.1252
-29.0143,148.7429
-28.9043,151.4309
-36.4052,143.1519
-29.2716,152.4406
-29.1481,149.0822
-30.1493,150.8103
-41.3702,145.0499
-31.0786,149.4508
-36.1685,146.4267
-29.279,151.625
-35.7498,140.581
-30.876,147.516
-34.9137,146.0118
-36.4338,141.3786
-41.4396,146.9778
-32.6893,151.8575
-28.9998,153.1074
-35.8418,146.692
-34.2019,146.7872
-36.3487,141.1248
-27.5972,151.1153
-34.4313,142.2805
-33.6947,146.2984
-33.9546,145.6394
-33.5885,150.2585
-35.8321,140.9268
-36.4637,142.682
-43.1937,146.9151
-31.998,149.2212
-28.2313,150.4082
-41.0286,145.3032
-32.6385,146.6161
-30.1967,149.5458
-36.9573,141.4188
-35.4723,146.5442
-28.9836,152.1991
-37.8764,145.8671
-34.2102,148.0204
-31.9335,145.8357
-36.8847,142.6436
-34.9952,146.0
-33.0574,148.4869
-30.2613,149.5416
-28.7603,152.3737
-36.3956,141.6186
-27.4535,151.0715
-35.5354,147.6606
-37.4058,147.9737
-35.1992,148.4243
-29.8727,152.5697
-33.6892,148.5759
-38.5225,146.2849
-37.6929,149.4336
-34.4956,146.2691
-36.344,149.7271
-36.1054,146.1631
-38.4938,146.1225
-32.6318,151.2457
-29.2364,150.3777
-31.5165,152.0925
-28.5921,149.1097
-33.3856,150.4992
-32.6487,151.8039
-37.0051,142.1721
-29.6944,150.4749
-27.982,151.6982
-28.2016,147.517
-37.2302,145.5594
-35.6118,141.9886
-31.5469,152.6203
-36.1734,141.3242
-28.9302,152.7989
-27.8106,149.2256
-37.7875,142.9971
-37.599,145.4566
-28.0256,140.9146
-30.6213,152.988
-29.1732,152.5689
-34.3759,146.9093
-29.2165,148.8137
-37.6273,149.598
-28.4024,151.0234
-27.9535,148.0471
-30.7422,152.237
-33.2137,148.6659
-32.537,146.1306
-27.8438,147.3302
-37.1673,142.2695
-35.9837,144.5326
-31.2934,147.0786
-34.7762,147.2401
-35.21,145.5198
-36.9213,141.8747
-27.9062,148.7957
-35.5395,150.2136
-34.0139,140.6626
-34.2325,146.6649
-38.0011,143.6217
-35.7699,145.6664
-34.1433,146.8628
-30.927,152.169
-43.354,146.9479
-35.4257,145.9531
-35.6382,145.5292
-35.2164,146.8483
-30.4726,148.7103
-35.8295,146.7659
-37.8032,143.0271
-34.4701,146.2345
-35.7806,146.1013
-34.7196,146.9457
-30.888,152.1401
-37.6164,145.5357
-34.4827,148.5345
-30.0854,148.1396
-31.8885,152.4492
-37.726,147.1206
-36.3649,149.7282
-34.5118,145.7858
-36.3517,141.1002
-38.0153,143.5195
-35.6924,147.0753
-29.4254,152.6876
-33.0426,148.7124
-30.8727,151.6244
-36.4344,141.6175
-34.7081,146.8109
-37.7816,142.2251
-34.7278,147.5309
-41.3603,148.2283
-35.6269,144.2698
-28.7795,147.7059
-36.6535,147.7433
-33.1891,146.42
-33.9649,149.8837
-34.4604,150.884
-36.1516,146.4872
-28.6677,150.1041
-30.7686,152.4223
-30.1074,147.7465
-36.1279,145.7097
